,w_noise_list,act_res
134,0.013000000000000001,0.9094658493995667
135,0.013000000000000001,0.9096622467041016
136,0.013000000000000001,0.908091127872467
137,0.013000000000000001,0.9078947305679321
138,0.013000000000000001,0.9075019955635071
139,0.013000000000000001,0.9078947305679321
140,0.014,0.907698392868042
141,0.014,0.9078947305679321
142,0.014,0.9098586440086365
143,0.014,0.9096622467041016
144,0.014,0.9086803197860718
145,0.014,0.908091127872467
146,0.014,0.9094658493995667
147,0.014,0.908287525177002
148,0.014,0.9078947305679321
149,0.014,0.9088766574859619
150,0.015,0.9086803197860718
151,0.015,0.9088766574859619
152,0.015,0.9088766574859619
153,0.015,0.9108405709266663
154,0.015,0.9096622467041016
155,0.015,0.9065200686454773
156,0.015,0.908287525177002
157,0.015,0.9090730547904968
158,0.015,0.9084839224815369
159,0.015,0.908287525177002
160,0.016,0.9098586440086365
161,0.016,0.908091127872467
162,0.016,0.908287525177002
163,0.016,0.9102513790130615
164,0.016,0.9096622467041016
165,0.016,0.9104477763175964
166,0.016,0.9078947305679321
167,0.016,0.908287525177002
168,0.016,0.9102513790130615
169,0.016,0.9096622467041016
170,0.017,0.9094658493995667
171,0.017,0.9110369682312012
172,0.017,0.9084839224815369
173,0.017,0.9090730547904968
174,0.017,0.9086803197860718
175,0.017,0.9071092009544373
176,0.017,0.9094658493995667
177,0.017,0.9094658493995667
178,0.017,0.9102513790130615
179,0.017,0.9090730547904968
180,0.018000000000000002,0.9098586440086365
181,0.018000000000000002,0.9090730547904968
182,0.018000000000000002,0.9090730547904968
183,0.018000000000000002,0.9100549817085266
184,0.018000000000000002,0.9088766574859619
185,0.018000000000000002,0.9092694520950317
186,0.018000000000000002,0.908091127872467
187,0.018000000000000002,0.9059308767318726
188,0.018000000000000002,0.9092694520950317
189,0.018000000000000002,0.9084839224815369
190,0.019,0.908091127872467
191,0.019,0.9106441736221313
192,0.019,0.9078947305679321
193,0.019,0.9104477763175964
194,0.019,0.908091127872467
195,0.019,0.907698392868042
196,0.019,0.9108405709266663
197,0.019,0.907698392868042
198,0.019,0.9104477763175964
199,0.019,0.9086803197860718
200,0.02,0.9102513790130615
201,0.02,0.9073055982589722
202,0.02,0.9102513790130615
203,0.02,0.9088766574859619
204,0.02,0.9098586440086365
205,0.02,0.9092694520950317
206,0.02,0.9098586440086365
207,0.02,0.9088766574859619
208,0.02,0.9071092009544373
209,0.02,0.9084839224815369
210,0.021,0.908091127872467
211,0.021,0.9086803197860718
212,0.021,0.9084839224815369
213,0.021,0.9092694520950317
214,0.021,0.9094658493995667
215,0.021,0.9078947305679321
216,0.021,0.908287525177002
217,0.021,0.907698392868042
218,0.021,0.9096622467041016
219,0.021,0.9090730547904968
220,0.022,0.9098586440086365
221,0.022,0.9086803197860718
222,0.022,0.9096622467041016
223,0.022,0.9084839224815369
224,0.022,0.9086803197860718
225,0.022,0.908091127872467
226,0.022,0.9108405709266663
227,0.022,0.907698392868042
228,0.022,0.9112333059310913
229,0.022,0.908091127872467
230,0.023,0.9090730547904968
231,0.023,0.9084839224815369
232,0.023,0.907698392868042
233,0.023,0.907698392868042
234,0.023,0.907698392868042
235,0.023,0.9102513790130615
236,0.023,0.9088766574859619
237,0.023,0.9106441736221313
238,0.023,0.908091127872467
239,0.023,0.9086803197860718
240,0.024,0.9094658493995667
241,0.024,0.9098586440086365
242,0.024,0.9092694520950317
243,0.024,0.9090730547904968
244,0.024,0.908287525177002
245,0.024,0.9102513790130615
246,0.024,0.9112333059310913
247,0.024,0.9073055982589722
248,0.024,0.9094658493995667
249,0.024,0.907698392868042
250,0.025,0.9092694520950317
251,0.025,0.9094658493995667
252,0.025,0.908287525177002
253,0.025,0.9114297032356262
254,0.025,0.908091127872467
255,0.025,0.9098586440086365
256,0.025,0.9086803197860718
257,0.025,0.9084839224815369
258,0.025,0.907698392868042
259,0.025,0.9078947305679321
260,0.026000000000000002,0.9067164063453674
261,0.026000000000000002,0.908091127872467
262,0.026000000000000002,0.9057344794273376
263,0.026000000000000002,0.9092694520950317
264,0.026000000000000002,0.9102513790130615
265,0.026000000000000002,0.9094658493995667
266,0.026000000000000002,0.9090730547904968
267,0.026000000000000002,0.9116261005401611
268,0.026000000000000002,0.9088766574859619
269,0.026000000000000002,0.9098586440086365
270,0.027,0.9086803197860718
271,0.027,0.908287525177002
272,0.027,0.9094658493995667
273,0.027,0.9086803197860718
274,0.027,0.9092694520950317
275,0.027,0.9088766574859619
276,0.027,0.9078947305679321
277,0.027,0.9075019955635071
278,0.027,0.9071092009544373
279,0.027,0.9110369682312012
280,0.028,0.908287525177002
281,0.028,0.9096622467041016
282,0.028,0.9100549817085266
283,0.028,0.9094658493995667
284,0.028,0.9096622467041016
285,0.028,0.9112333059310913
286,0.028,0.9100549817085266
287,0.028,0.9084839224815369
288,0.028,0.9090730547904968
289,0.028,0.9100549817085266
290,0.029,0.9090730547904968
291,0.029,0.9071092009544373
292,0.029,0.907698392868042
293,0.029,0.908091127872467
294,0.029,0.9088766574859619
295,0.029,0.908091127872467
296,0.029,0.9088766574859619
297,0.029,0.9086803197860718
298,0.029,0.9102513790130615
299,0.029,0.9078947305679321
300,0.03,0.908091127872467
301,0.03,0.9096622467041016
302,0.03,0.9098586440086365
303,0.03,0.9098586440086365
304,0.03,0.908091127872467
305,0.03,0.9057344794273376
306,0.03,0.9084839224815369
307,0.03,0.9096622467041016
308,0.03,0.9092694520950317
309,0.03,0.9090730547904968
310,0.031,0.9114297032356262
311,0.031,0.908091127872467
312,0.031,0.9110369682312012
313,0.031,0.9098586440086365
314,0.031,0.9075019955635071
315,0.031,0.908287525177002
316,0.031,0.9084839224815369
317,0.031,0.9098586440086365
318,0.031,0.9073055982589722
319,0.031,0.9102513790130615
320,0.032,0.9094658493995667
321,0.032,0.9116261005401611
322,0.032,0.908091127872467
323,0.032,0.9069128036499023
324,0.032,0.9096622467041016
325,0.032,0.908091127872467
326,0.032,0.9098586440086365
327,0.032,0.907698392868042
328,0.032,0.908091127872467
329,0.032,0.9094658493995667
330,0.033,0.9100549817085266
